max.util.;Agent
1,0000;BoulwareNegotiationParty@0
1,0000;ConcederNegotiationParty@1
1,0000;UIAgent@2
1,0000;UIAgentExtended@3
0,5506;SimpleAgent@4
0,2550;RandomCounterOfferNegotiationParty@6
0,5117;RandomParty@7
0,5051;RandomParty2@8
0,2734;Agent33@9
1,0000;AgentHerb@10
0,9729;AgentNP1@11
1,0000;AgreeableAgent2018@12
1,0000;ATeamAgent@13
1,0000;Group2@14
1,0000;ConDAgent@15
1,0000;Exp_Rubick@16
1,0000;FullAgent@17
1,0000;IQSun2018@19
0,9459;Lancelot@20
1,0000;Agent36@22
0,9729;PonPokoRampage@23
1,0000;Seto@24
1,0000;Shiboy@25
1,0000;SMAC_Agent@26
1,0000;Yeela@28
1,0000;AgentF@29
1,0000;PonPokoAgent@33
1,0000;Rubick@35
1,0000;SimpleAgent@36
1,0000;AgentHP2_main@37
1,0000;AgentLight@38
1,0000;Atlas32016@39
1,0000;Caduceus@40
1,0000;ClockworkAgent@41
1,0000;Farma@42
0,9729;GrandmaAgent@43
1,0000;MaxOops@44
1,0000;MyAgent@45
1,0000;Ngent@46
1,0000;ParsAgent2@47
1,0000;ParsCat@48
1,0000;SYAgent@49
1,0000;Terra@50
0,7330;YXAgent@51
0,2279;AgentSmith2016@52
1,0000;PhoenixParty@53
1,0000;CUHKAgent2015@54
1,0000;ParsAgent@55
1,0000;AresParty@56
1,0000;Mercury@57
1,0000;Atlas3@58
0,3871;AgentH@59
0,9237;SENGOKU@60
1,0000;AgentW@61
0,8056;AgentX@62
1,0000;DrageKnight@63
1,0000;kawaii@64
1,0000;AgentBuyogMain@65
1,0000;XianFaAgent@66
1,0000;Groupn@67
1,0000;AgentHP@68
1,0000;Group2@69
0,8550;PokerFace@70
1,0000;TUDMixedStrategyAgent@71
1,0000;MeanBot@72
1,0000;PNegotiator@73
1,0000;RandomDance@74
1,0000;JonnyBlack@75
1,0000;UtilityBasedAcceptor@76
1,0000;AgentFSEGA@77
1,0000;Agent_K@78
1,0000;IAMhaggler@79
0,9729;IAMcrazyHaggler@80
1,0000;AgentSmith@81
1,0000;Nozomi@82
1,0000;Yushu@83
1,0000;TheNegotiator@84
1,0000;ValueModelAgent@85
1,0000;Gahboninho@86
1,0000;BRAMAgent@87
1,0000;KLH@88
1,0000;NiceTitForTat@89
1,0000;IAMhaggler2011@90
1,0000;Agent_K2@91
1,0000;AgentLG@92
1,0000;AgentMR@93
1,0000;TheNegotiatorReloaded@94
1,0000;BRAMAgent2@95
1,0000;CUHKAgent@96
1,0000;IAMhaggler2012@97
1,0000;MetaAgent@98
1,0000;OMACagent@99
1,0000;InoxAgent@100
1,0000;TheFawkes@101
1,0000;AgentKF@102
1,0000;AgentI@103
1,0000;MetaAgent2013@104
1,0000;SlavaAgent@105
1,0000;TMFAgent@106
1,0000;AgentM@107
1,0000;AgentQuest@108
0,6233;AgentTD@109
0,3991;AgentTRP@110
0,7162;WhaleAgent@111
0,9004;AgentYK@112
1,0000;Aster@114
1,0000;BraveCat@116
1,0000;DoNA@117
1,0000;Flinch@119
0,7266;Gangster@120
0,9275;Simpatico@122
0,6670;Sobut@123
1,0000;SimilarityAgent@125
1,0000;TimeDependentAgentBoulware@127
0,8967;TimeDependentAgentConceder@128
1,0000;TimeDependentAgentHardliner@129
0,9729;TimeDependentAgentLinear@130
1,0000;ImmediateAcceptor@131
1,0000;FunctionalAcceptor@133
1,0000;BayesianAgent@134
0,9729;ABMPAgent2@135
